PageNum,URL,Rating,Date,Title,Review
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on May 1, 2020",She’s a Broken record,"Why does she have to say “I can imitate any animal you want” in between every single thing?? It’s VERY annoying, my friend’s google home you can just ask for an animal whenever. Please fix this nonsense."
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on February 4, 2020",lots of talking,used to be easy to make animal sounds - now they recommend this silly app - lots of talking - hard to use - few animals
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on January 21, 2020","Pointless, too much talking","Alexa used to just make animal sounds on command, now you have to use this skill? Alexa talks more than she makes animal sounds. This is terrible, just make the sounds when I ask so my toddler can hear an elephant!"
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,2.0 out of 5 stars,"Reviewed in the United States on November 25, 2018",Used to be a good app,"I used to enjoy playing this app with my two toddlers at breakfast time. But something changed in the last few months and is now 90% of the game is listening to Alexa talking about what she can do. After every Single animal sound, Alexa restarts her spiel about how she can make an animal sound or play a guessing game."
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"Reviewed in the United States on June 8, 2019",Improved,"Great distraction for my toddler when my hands are full. They have added many sounds over the past six months and will also give suggestions for more animal sounds (including insects, sea animals and different kinds of birds) I don't like hearing the ad for the dinosaur extinction pack over and over.p"
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on April 11, 2020",Just play the sound.,"“Alexa, ask aninal sounds what an elephant sounds like.” is too long to begin with and then Alexa says, “I don’t know that one. Would you like to open the app animal sounds?” And then the app animal sounds opens… And there’s a whooooioole lot more to say. My two-year-old just wants to hear an elephant."
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on March 4, 2020",do they even user test it?,Great example on how to make something simple be unuseable.  See other 1-star reviews. Alexa keeps talking and taking ... shut her up!
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on January 5, 2020",Not good,"Half of the time it says you answered wrong or does not understand your answer. Gets really old shouting the correct answer over and over just to be told you're wrong and then the answer is exactly what you were saying. The sounds are ok, some of them are extremely obvious while others are really abstract, but not of thia matters when it doesnt work."
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",talks too much,way too much narration. it also would be great to just have a playlist of random animal sounds - my daughter just wants to hear the animalnoises without so much Alexa repetition and needing so much guidance from us. it also rarely understands the animal im asking for. I had to delete the app.
1,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"Reviewed in the United States on July 16, 2020",Exactly what we wanted,"we were hesitant to try this after reading other reviews..... but the other reviewers are a bit dramatic. This app did exactly what we wanted. we ask for animal noises and it plays the noise. The noise is about three to five seconds long. Perfect for my two year old’s attention span. Alexa offers the prompt in between each animal, which might be unessesary EACH time. but the app is better than nothing!"
